feature_id	feature_symbol	feature_type	omics_type	method	analysis_type	comparison	effect	effect_type	statistic	statistic_type	p_value	adj_p_value	direction	base_mean	model_fit	is_significant
PROT_ABL1	ABL1	feature	proteomics	limma	group	G2_vs_G1	1.4602827271735	log2FC	4.22225032318209	t	9.04122633766824e-05	0.000516641505009614	up	18.6753472514737	NA	NA
PROT_AMD1	AMD1	feature	proteomics	limma	group	G2_vs_G1	1.48917561925998	log2FC	4.45606360486609	t	4.08905217192113e-05	0.000284455803264079	up	19.4511241865887	NA	NA
PROT_ARID4A	ARID4A	feature	proteomics	limma	group	G2_vs_G1	1.60490824643944	log2FC	4.86334132536543	t	9.87787590795801e-06	9.35790372423449e-05	up	19.8094894063566	NA	NA
PROT_ATF5	ATF5	feature	proteomics	limma	group	G2_vs_G1	1.79203529626414	log2FC	5.51176534952604	t	9.50218687516245e-07	2.17192842860856e-05	up	22.4787928899499	NA	NA
PROT_ATRX	ATRX	feature	proteomics	limma	group	G2_vs_G1	1.21090100574852	log2FC	3.59093517132169	t	0.000698119055724477	0.00310275135877545	up	24.2502433177999	NA	NA
PROT_AURKA	AURKA	feature	proteomics	limma	group	G2_vs_G1	1.41068493145973	log2FC	4.17757830160643	t	0.000104997086652621	0.000579294271186873	up	22.3633390111791	NA	NA
PROT_AURKB	AURKB	feature	proteomics	limma	group	G2_vs_G1	1.69431339476356	log2FC	5.18128692094691	t	3.16682868881393e-06	3.69726590717076e-05	up	18.3842619554957	NA	NA
PROT_BARD1	BARD1	feature	proteomics	limma	group	G2_vs_G1	2.01129469997761	log2FC	6.01125778853914	t	1.49268430916598e-07	9.77461295043082e-06	up	19.5152365034023	NA	NA
PROT_BCL3	BCL3	feature	proteomics	limma	group	G2_vs_G1	1.89977250804779	log2FC	5.45821740426124	t	1.15636318356377e-06	2.31272636712755e-05	up	17.8534785538148	NA	NA
PROT_BIRC5	BIRC5	feature	proteomics	limma	group	G2_vs_G1	2.16539826569639	log2FC	6.44565493813514	t	2.92161131794532e-08	4.67457810871251e-06	up	19.2164673088681	NA	NA
PROT_BRCA2	BRCA2	feature	proteomics	limma	group	G2_vs_G1	1.50481344197615	log2FC	4.41571389828274	t	4.69493175596812e-05	0.000312995450397875	up	18.0871251772225	NA	NA
PROT_BUB1	BUB1	feature	proteomics	limma	group	G2_vs_G1	1.53736530675517	log2FC	4.74022819873225	t	1.52475803631036e-05	0.000128400676741925	up	19.7554314760414	NA	NA
PROT_BUB3	BUB3	feature	proteomics	limma	group	G2_vs_G1	1.99138689874099	log2FC	5.82058056310139	t	3.03710026785032e-07	1.21484010714013e-05	up	22.0305488443886	NA	NA
PROT_CASP8AP2	CASP8AP2	feature	proteomics	limma	group	G2_vs_G1	1.22805463477388	log2FC	3.29665090526631	t	0.00170879659961222	0.00738939070102581	up	23.1071738133105	NA	NA
PROT_CBX1	CBX1	feature	proteomics	limma	group	G2_vs_G1	1.77293069131845	log2FC	5.24949740654647	t	2.47416654048717e-06	3.29888872064956e-05	up	20.2586250177907	NA	NA
PROT_CCNA2	CCNA2	feature	proteomics	limma	group	G2_vs_G1	1.97501158955927	log2FC	5.95627606075734	t	1.83273992820578e-07	9.77461295043082e-06	up	17.9843263814412	NA	NA
PROT_CCNB2	CCNB2	feature	proteomics	limma	group	G2_vs_G1	0.539181573306529	log2FC	1.62975280286393	t	0.108809219436296	0.348189502196148	up	23.0346084695911	NA	NA
PROT_CCND1	CCND1	feature	proteomics	limma	group	G2_vs_G1	1.66769157287542	log2FC	4.89587504664466	t	8.80174531222981e-06	9.35790372423449e-05	up	20.8852580254671	NA	NA
PROT_CCNF	CCNF	feature	proteomics	limma	group	G2_vs_G1	1.69903294095373	log2FC	4.63034165597741	t	2.23890886189972e-05	0.000170583532335217	up	20.5202962178742	NA	NA
PROT_CCNT1	CCNT1	feature	proteomics	limma	group	G2_vs_G1	1.70729826084651	log2FC	4.66196516215017	t	2.00525226913187e-05	0.00016042018153055	up	25.2396120676463	NA	NA
PROT_CDC20	CDC20	feature	proteomics	limma	group	G2_vs_G1	1.11732892647946	log2FC	3.26587468964187	t	0.00187203190858736	0.00788223961510468	up	23.0153473961162	NA	NA
PROT_CDC25A	CDC25A	feature	proteomics	limma	group	G2_vs_G1	1.42311163862483	log2FC	4.2324222013515	t	8.73769437767659e-05	0.000516641505009614	up	21.3893781960358	NA	NA
PROT_CDC25B	CDC25B	feature	proteomics	limma	group	G2_vs_G1	1.85506670270566	log2FC	5.62731093017666	t	6.21106111655614e-07	1.65628296441497e-05	up	21.224938515731	NA	NA
PROT_CDC27	CDC27	feature	proteomics	limma	group	G2_vs_G1	1.78577079308556	log2FC	5.17538003989114	t	3.23510766877442e-06	3.69726590717076e-05	up	18.2472851636481	NA	NA
PROT_CDC45	CDC45	feature	proteomics	limma	group	G2_vs_G1	1.54492201558024	log2FC	4.30087934744831	t	6.9373882057614e-05	0.000426916197277624	up	22.9511069315332	NA	NA
